name,category,difficulty_level,calories_per_minute,is_popular,usage_count,wger_id,wger_category_id
Plank Jacks,abs,beginner,5.0,1,0,1489,10
Deadlifts,back,beginner,5.0,1,0,184,12
TRX dips,arms,beginner,5.0,1,0,1269,8
Perpendicular Unilateral Landmine Row,shoulders,beginner,5.0,1,0,1580,13
Pull Ups on Machine,back,beginner,5.0,1,0,477,12
Barbell Wrist Curl,arms,beginner,5.0,1,0,51,8
Long-Pulley (low Row),back,beginner,5.0,1,0,394,12
Hammercurls,arms,beginner,5.0,1,0,272,8
Plank Shoulter Taps,abs,beginner,5.0,1,0,1091,10
Clap Push-UP,chest,beginner,5.0,1,0,1554,11
Pin Squat,legs,beginner,5.0,1,0,1437,9
Incline Bench Press - MP,chest,beginner,5.0,1,0,539,11
Pseudo Planche Push-up,shoulders,beginner,5.0,1,0,1284,13
Lying Rotator Cuff Exercise,shoulders,beginner,5.0,0,0,406,13
Cable Tricep Kickback,arms,beginner,5.0,1,0,1509,8
JALONES PECHO NEUTRO,back,beginner,5.0,1,0,1136,12
Side Crunch,abs,beginner,5.0,1,0,576,10
Sitting Calf Raises,legs,beginner,5.0,1,0,1494,9
kettlebell sumo deadlift,legs,beginner,5.0,1,0,1612,9
Kettlebell deadlifts,back,beginner,5.0,0,0,1003,12
"Hip Raise, Lying",back,beginner,5.0,0,0,292,12
Ab wheel,abs,beginner,5.0,1,0,1573,10
Front Plank,abs,beginner,5.0,1,0,1307,10
Dumbbell Split Squat,legs,beginner,5.0,0,0,1366,9
Estiramiento de piernas y cadera,legs,beginner,5.0,1,0,1589,9
Lower Back Extensions,back,beginner,5.0,0,0,1348,12
T-Bar row,back,beginner,5.0,1,0,919,12
Bayesian Curl,arms,beginner,5.0,1,0,1493,8
Abduction while standing,legs,beginner,5.0,0,0,1096,9
Pullover,back,beginner,5.0,1,0,1273,12
box jumps,cardio,beginner,5.0,1,0,1373,15
Side Bends on Machine,abs,beginner,5.0,1,0,556,10
Wall-sit,legs,beginner,5.0,1,0,1408,9
Pull-ups,back,beginner,5.0,1,0,475,12
Black Widow Knee Slides,abs,beginner,5.0,1,0,1475,10
Run - Interval Training,cardio,beginner,5.0,0,0,529,15
Swimming 50m sprints,cardio,beginner,5.0,0,0,961,15
Reverse Wood Chops,back,beginner,5.0,1,0,1433,12
Handstand Pushup,shoulders,beginner,5.0,1,0,282,13
Sliding Lateral Lunge,legs,beginner,5.0,1,0,1604,9
Crunches With Cable,abs,beginner,5.0,1,0,173,10
Smith Machine Split Squat,legs,beginner,5.0,1,0,1594,9
Head tilts,back,beginner,5.0,0,0,1018,12
Back bridge,back,beginner,5.0,0,0,1263,12
Deficit Deadlift,back,beginner,5.0,0,0,189,12
Cross-Bench Dumbbell Pullovers,chest,beginner,5.0,1,0,161,11
Front Squats,legs,beginner,5.0,1,0,257,9
Standing Side Crunches,abs,beginner,5.0,1,0,1426,10
Rocking Triceps Pushdown,arms,beginner,5.0,1,0,1485,8
Barbell Hack Squats,legs,beginner,5.0,0,0,43,9
Triceps Dips (Assisted),arms,beginner,5.0,1,0,1372,8
Sumo Squats,legs,beginner,5.0,1,0,632,9
Incline Chest Press DB,chest,beginner,5.0,1,0,1444,11
Seated Dumbbell Curls,arms,beginner,5.0,1,0,1289,8
Vpushup,abs,beginner,5.0,1,0,1090,10
Side-lying External Rotation,shoulders,beginner,5.0,0,0,578,13
Barbell Lunges Walking,legs,beginner,5.0,0,0,802,9
V-Bar Pulldown,back,beginner,5.0,0,0,695,12
Dumbbell Crunches,abs,beginner,5.0,1,0,1415,10
Forward shoulder rotation,back,beginner,5.0,0,0,1004,12
"Lateral Rows on Cable, One Armed",shoulders,beginner,5.0,1,0,349,13
Overhead Triceps Extension,arms,beginner,5.0,1,0,1519,8
Reverse EZ Bar Cable Curls,arms,beginner,5.0,1,0,914,8
Bear Walk,chest,beginner,5.0,1,0,57,11
Lying Leg Raise,abs,beginner,5.0,1,0,1313,10
Neutral Grip Lat Pulldown,back,beginner,5.0,1,0,1510,12
Remo maquina agarre estrecho,back,beginner,5.0,0,0,1119,12
Row,back,beginner,5.0,1,0,508,12
Trx Single Arm Bicep Curl,arms,beginner,5.0,1,0,1262,8
Alternative DB Gorilla rows,back,beginner,5.0,1,0,1501,12
PALLOF PRESS,abs,beginner,5.0,1,0,1194,10
Kettlebell Swings,legs,beginner,5.0,1,0,331,9
Hip hinge,legs,beginner,5.0,1,0,1578,9
Back extensión,back,beginner,5.0,1,0,1143,12
Dumbbell Underhand Dead Row,arms,beginner,5.0,1,0,1463,8
Snach,shoulders,beginner,5.0,1,0,599,13
Reverse Preacher Curl (Close Grip),arms,beginner,5.0,1,0,913,8
Snap Down,legs,beginner,5.0,1,0,1576,9
Floor Skull Crusher,arms,beginner,5.0,1,0,1468,8
Reach ups,abs,beginner,5.0,1,0,1287,10
Leg Curls (sitting),legs,beginner,5.0,1,0,366,9
Pause Hack Squats,legs,beginner,5.0,1,0,1464,9
Alternating High Cable Row,back,beginner,5.0,1,0,1486,12
No Leg Drive Dumbbell Chest Press,chest,beginner,5.0,1,0,1461,11
Biceps Curls With Barbell,arms,beginner,5.0,1,0,91,8
Dumbbell Hip Thrust,legs,beginner,5.0,1,0,1614,9
Ball Slams,cardio,beginner,5.0,1,0,1525,15
Standing biceps stretch left,arms,beginner,5.0,1,0,1232,8
Quadruped thoracic rotation left,back,beginner,5.0,0,0,1028,12
Standing Calf Stretch,legs,beginner,5.0,1,0,1239,9
One Arm Triceps Extensions on Cable,arms,beginner,5.0,0,0,803,8
Arm Raises (T/Y/I),arms,beginner,5.0,1,0,1606,8
Bodyweight Squat HD,cardio,beginner,5.0,1,0,1312,15
Omni Cable Cross-over,chest,beginner,5.0,1,0,1484,11
Crunch en maquina,abs,beginner,5.0,1,0,1617,10
commando pull-ups,abs,beginner,5.0,1,0,980,10
Dragon squat,legs,beginner,5.0,1,0,1201,9
Jumping Jack HD,cardio,beginner,5.0,1,0,1314,15
Wall Drills,legs,beginner,5.0,1,0,1196,9
